epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1713.52,1.98373,5.43564,0.01022,0.69193,0.19656,0.18325,0.06932,2.1391,7.28723,0.01203,0.000166738,0.000166738,0.000166738
146,1725.43,1.98941,5.33576,0.01062,0.68473,0.19705,0.18557,0.06838,2.14931,7.61922,0.01222,0.0001615,0.0001615,0.0001615
147,1737.15,1.95509,5.3321,0.0107,0.56322,0.1961,0.19532,0.07013,2.14744,7.62618,0.01215,0.000156333,0.000156333,0.000156333
148,1748.9,1.97315,5.20956,0.01086,0.68627,0.20404,0.20134,0.07503,nan,nan,nan,0.000151236,0.000151236,0.000151236
149,1760.7,1.97475,5.14393,0.01086,0.69937,0.19147,0.21887,0.08047,nan,nan,nan,0.000146211,0.000146211,0.000146211
150,1772.4,1.98064,5.15019,0.0104,0.70843,0.18581,0.21453,0.08249,2.1587,7.4962,0.01217,0.00014126,0.00014126,0.00014126
151,1783.62,1.97784,5.21717,0.0106,0.71578,0.18549,0.18516,0.0704,2.14813,7.26957,0.01206,0.000136384,0.000136384,0.000136384
152,1795.1,1.97919,5.04687,0.01031,0.57328,0.18874,0.17678,0.06661,2.15222,7.62484,0.01215,0.000131584,0.000131584,0.000131584
153,1806.88,1.96826,5.19471,0.01061,0.56939,0.19593,0.18338,0.06735,2.1703,7.55852,0.01231,0.000126861,0.000126861,0.000126861
154,1818.7,1.98443,5.18646,0.01058,0.5718,0.19956,0.18448,0.06649,nan,nan,nan,0.000122217,0.000122217,0.000122217
155,1830.53,1.98822,5.22731,0.01046,0.70141,0.19782,0.19322,0.071,2.1527,7.47532,0.01207,0.000117652,0.000117652,0.000117652
156,1842.37,1.96824,5.15017,0.0104,0.57164,0.19924,0.1968,0.07189,2.15682,7.39029,0.01205,0.000113167,0.000113167,0.000113167
157,1854.1,1.95369,5.09578,0.0103,0.56596,0.19518,0.19571,0.07249,2.14055,7.74646,0.01201,0.000108764,0.000108764,0.000108764
158,1865.46,1.96656,5.0129,0.01032,0.55905,0.1948,0.194,0.07145,2.14601,7.5893,0.01208,0.000104445,0.000104445,0.000104445
159,1876.83,1.96189,5.17216,0.01074,0.55119,0.19738,0.19343,0.07322,2.13635,7.54686,0.012,0.000100208,0.000100208,0.000100208
160,1888.62,1.95571,5.07524,0.01057,0.56127,0.1844,0.18895,0.072,2.13493,7.61793,0.012,9.60574e-05,9.60574e-05,9.60574e-05
161,1900.48,1.96075,5.0235,0.01053,0.54209,0.21017,0.18754,0.0704,2.14558,7.68067,0.01207,9.19922e-05,9.19922e-05,9.19922e-05
162,1912.32,1.96572,5.08775,0.01033,0.54279,0.21735,0.19163,0.07041,2.15592,7.57687,0.01212,8.8014e-05,8.8014e-05,8.8014e-05
163,1924,1.96055,5.03521,0.01032,0.57407,0.18446,0.19428,0.07234,2.15386,7.58599,0.0121,8.41237e-05,8.41237e-05,8.41237e-05
164,1935.77,1.96293,5.07387,0.01033,0.56659,0.18535,0.17975,0.06731,2.16,7.81183,0.01221,8.03223e-05,8.03223e-05,8.03223e-05
165,1947.17,1.9674,4.89748,0.01053,0.57432,0.181,0.18027,0.06758,nan,nan,nan,7.66108e-05,7.66108e-05,7.66108e-05
166,1958.59,1.95981,5.00648,0.01042,0.56366,0.19168,0.17859,0.06755,nan,nan,nan,7.29899e-05,7.29899e-05,7.29899e-05
167,1970.35,1.98714,4.96567,0.01006,0.57229,0.19372,0.18091,0.06873,nan,nan,nan,6.94608e-05,6.94608e-05,6.94608e-05
168,1982.19,1.94249,5.02785,0.01033,0.56726,0.1937,0.1768,0.06681,2.16259,7.69871,0.01216,6.60241e-05,6.60241e-05,6.60241e-05
169,1994.07,1.96223,5.11841,0.01039,0.56509,0.18236,0.1718,0.06473,2.16529,7.96251,0.01229,6.26808e-05,6.26808e-05,6.26808e-05
170,2005.82,1.96231,5.08019,0.01079,0.55649,0.18624,0.16984,0.06391,2.16047,7.9519,0.0123,5.94317e-05,5.94317e-05,5.94317e-05
171,2017.67,1.96584,5.05288,0.01047,0.55638,0.19353,0.17383,0.06579,2.15184,7.66265,0.01214,5.62776e-05,5.62776e-05,5.62776e-05
172,2029.61,1.94544,4.94943,0.01026,0.56146,0.20366,0.17618,0.06712,2.14265,7.58045,0.01202,5.32192e-05,5.32192e-05,5.32192e-05
173,2040.84,1.95842,5.1804,0.01078,0.57183,0.18846,0.17522,0.06636,2.14297,7.57309,0.01203,5.02573e-05,5.02573e-05,5.02573e-05
174,2052.21,1.97111,5.03947,0.01018,0.56788,0.18731,0.17519,0.06641,nan,nan,nan,4.73927e-05,4.73927e-05,4.73927e-05
